Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,24-064,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Liz Bogus,5.0,us USA,"FW,MF",29-160,62,0,0,0,0,1,1,0,0,3,3,0,0,,,,,
Renae Cuéllar,23.0,mx MEX,FW,23-040,28,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Stephanie Cox,9.0,us USA,DF,27-122,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Emily van Egmond,20.0,au AUS,MF,20-022,71,0,0,0,0,1,0,1,0,1,0,0,0,,,,,
Kate Deines,4.0,us USA,"DF,MF",23-320,19,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Jess Fishlock,10.0,wls WAL,MF,26-201,90,0,0,0,0,2,1,0,0,1,2,0,0,,,,,
Kaylyn Kyle,6.0,ca CAN,MF,24-301,90,1,0,1,1,1,1,0,0,1,1,0,0,,,,,
Christine Nairn,19.0,us USA,MF,22-312,90,0,0,0,0,2,2,0,0,0,0,1,0,,,,,
Megan Rapinoe,15.0,us USA,"FW,MF",28-029,90,0,0,0,0,6,1,0,0,0,1,0,0,,,,,
Elli Reed,7.0,us USA,"DF,MF",23-358,90,0,0,0,0,0,0,0,0,0,3,0,0,,,,,
Hope Solo,1.0,us USA,GK,32-004,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Keelin Winters,11.0,us USA,MF,24-237,83,0,0,0,0,0,0,1,0,0,0,0,0,,,,,
Kiersten Dallstream,25.0,us USA,"DF,FW",25-151,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
14 Players,,,,,990,1,0,1,1,13,6,2,0,9,11,1,0,,,,,
