Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christine Sinclair,12.0,ca CAN,FW,34-110,90,0,0,0,0,,,0,0,,,,,,,0,,
Nadia Nadim,9.0,dk DEN,FW,29-271,90,1,0,1,1,,,0,0,,,,,,,0,,
Hayley Raso,21.0,au AUS,FW,23-025,45,1,0,0,0,,,0,0,,,,,,,0,,
Tobin Heath,17.0,us USA,"FW,MF",29-124,45,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,LM,29-059,45,0,0,0,0,,,0,0,,,,,,,0,,
Dagný Brynjarsdóttir,11.0,is ISL,MF,26-051,45,0,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,7.0,us USA,CM,23-127,90,0,0,0,0,,,0,0,,,,,,,0,,
Amandine Henry,28.0,fr FRA,CM,28-002,45,0,0,0,0,,,1,0,,,,,,,0,,
Allie Long,10.0,us USA,"FW,MF",30-048,45,0,0,0,0,,,0,0,,,,,,,0,,
Ashleigh Sykes,14.0,au AUS,RM,25-289,90,1,0,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,25-064,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,23-309,90,0,0,0,0,,,0,0,,,,,,,0,,
Katherine Reynolds,2.0,us USA,CB,30-016,90,0,0,0,0,,,0,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,26-322,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,3,0,1,1,,,1,0,,,,,,,0,,
